排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%
21,600900,长江电力,26.3,67.06,85.41,23.19,74.84,87.1,28.02,-1.02,19.0,49.83,3.01,70.61
22,688041,海光信息,86.67,10.52,45.16,85.55,15.11,57.96,287.66,0.23,245.27,89.89,28.46,93.4
23,000333,美的集团,22.08,75.72,80.71,25.0,81.83,83.06,84.34,-1.49,14.56,51.65,2.77,40.26
24,600028,中国石化,20.19,90.62,4.06,30.1,105.02,-0.74,5.05,-1.17,17.18,85.11,0.73,33.22
25,601328,交通银行,0.09,76.27,65.23,-6.23,86.74,54.29,6.91,-0.14,6.33,83.96,0.52,47.87
26,300502,新易盛,73.74,12.72,46.2,69.37,7.45,62.19,428.2,3.11,55.59,57.44,29.3,96.65
27,601658,邮储银行,-5.85,59.18,32.99,-1.45,78.87,29.85,4.93,-0.6,6.74,56.37,0.57,5.38
28,601728,中国电信,25.44,95.82,56.0,22.16,92.77,38.98,6.3,-0.32,18.2,65.56,1.23,61.74
29,002371,北方华创,100.54,28.78,59.4,97.76,29.39,65.7,760.0,1.86,98.91,47.73,14.04,87.36
30,688347,华虹宏力,110.48,12.36,52.86,95.6,13.52,60.85,273.2,4.08,962.17,80.57,10.49,96.17
