市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
个股,2026-07-23,002142,宁波银行,76,2,31.85,31.89,0.13,2,False,64.07,85.36,69.46,6.99,31.23,0.9,27.86,全样本(基准)
个股,2026-07-23,002352,顺丰控股,99,2,33.9,33.76,-0.41,2,False,80.31,66.5,25.65,15.65,1.73,1.78,1.73,全样本(基准)
个股,2026-07-23,002371,北方华创,30,2,740.0,770.0,4.05,2,False,54.98,29.45,72.79,96.31,46.6,13.67,86.22,全样本(基准)
个股,2026-07-23,002379,宏桥控股,54,2,20.45,19.51,-4.6,2,False,103.0,73.95,5.62,13.52,73.11,5.1,83.52,全样本(基准)
个股,2026-07-23,002384,东山精密,38,2,206.65,211.9,2.54,2,False,4.9,16.22,75.04,185.53,96.92,16.72,97.49,全样本(基准)
个股,2026-07-23,002415,海康威视,43,2,35.77,36.99,3.41,2,False,105.94,92.47,90.57,21.95,32.58,3.81,23.47,全样本(基准)
个股,2026-07-23,002463,沪电股份,69,2,115.74,117.5,1.52,2,False,25.65,16.89,70.98,51.77,96.96,13.27,98.07,全样本(基准)
个股,2026-07-23,002475,立讯精密,31,2,61.19,62.89,2.78,2,False,64.93,5.52,55.24,27.46,42.31,5.35,46.27,全样本(基准)
个股,2026-07-23,002594,比亚迪,18,2,92.65,92.4,-0.27,2,False,54.73,83.21,35.35,30.66,29.98,3.64,31.13,全样本(基准)
个股,2026-07-23,002714,牧原股份,66,2,39.7,39.33,-0.93,2,False,52.01,97.11,20.44,23.43,69.35,2.66,2.07,全样本(基准)
个股,2026-07-23,002916,深南电路,65,2,337.47,353.44,4.73,2,False,29.56,7.51,65.68,63.25,95.04,12.71,90.8,全样本(基准)
个股,2026-07-23,002938,鹏鼎控股,82,2,87.61,93.29,6.48,2,False,22.82,5.34,65.08,54.69,97.53,5.86,91.74,全样本(基准)
个股,2026-07-23,003816,中国广核,77,2,4.16,4.03,-3.12,2,False,96.84,34.15,35.81,22.15,91.64,1.67,71.27,全样本(基准)
个股,2026-07-23,300059,东方财富,45,2,20.28,19.65,-3.11,2,False,95.32,71.53,27.62,24.48,7.57,3.36,14.51,全样本(基准)
个股,2026-07-23,300274,阳光电源,59,2,117.79,116.21,-1.34,2,False,89.85,0.87,19.04,20.48,42.84,5.02,50.55,全样本(基准)
个股,2026-07-23,300308,中际旭创,12,2,1072.52,1076.94,0.41,2,False,50.36,2.32,72.3,80.01,85.49,33.61,98.07,全样本(基准)
个股,2026-07-23,300394,天孚通信,64,2,212.09,209.19,-1.37,2,False,26.19,-5.19,49.64,106.52,94.55,38.69,94.89,全样本(基准)
个股,2026-07-23,300408,三环集团,78,2,105.55,111.57,5.7,2,False,50.23,1.73,64.88,72.94,98.07,9.37,98.07,全样本(基准)
个股,2026-07-23,300433,蓝思科技,86,2,36.58,36.63,0.14,2,False,47.35,1.33,51.04,56.14,83.57,3.54,81.45,全样本(基准)
个股,2026-07-23,300476,胜宏科技,62,2,238.93,238.66,-0.11,2,False,41.5,-5.75,26.17,50.18,84.0,13.49,88.87,全样本(基准)
个股,2026-07-23,300502,新易盛,22,2,497.3,491.0,-1.27,2,False,41.25,27.91,81.2,64.56,68.29,34.02,98.17,全样本(基准)
个股,2026-07-23,300604,长川科技,93,2,291.24,304.7,4.62,2,False,37.43,43.1,79.21,117.47,52.96,36.28,99.08,全样本(基准)
个股,2026-07-23,300750,宁德时代,7,2,385.99,400.0,3.63,2,False,93.54,26.57,40.12,22.61,19.75,5.0,36.35,全样本(基准)
个股,2026-07-23,300760,迈瑞医疗,95,2,150.8,148.56,-1.49,2,False,77.7,82.32,15.87,23.33,4.67,4.56,1.86,全样本(基准)
个股,2026-07-23,301666,大普微-UW,70,2,510.0,489.15,-4.09,2,False,61.67,-5.42,,17137.56,28.36,277.37,28.36,全样本(基准)
个股,2026-07-23,600000,浦发银行,49,2,9.05,9.05,0.0,2,False,67.93,83.65,7.41,5.99,68.24,0.4,26.07,全样本(基准)
个股,2026-07-23,600025,华能水电,87,2,10.17,9.89,-2.75,2,False,75.65,99.9,65.56,22.19,79.86,2.67,76.63,全样本(基准)
个股,2026-07-23,600028,中国石化,24,2,5.19,5.15,-0.77,2,False,89.15,112.82,-2.26,17.65,86.02,0.75,36.05,全样本(基准)
个股,2026-07-23,600030,中信证券,33,2,28.62,28.26,-1.26,2,False,89.93,73.33,83.04,12.59,7.23,1.46,43.66,全样本(基准)
个股,2026-07-23,600031,三一重工,94,2,19.97,19.4,-2.85,2,False,97.15,92.89,15.41,21.81,48.24,2.03,19.9,全样本(基准)
个股,2026-07-23,600036,招商银行,16,2,38.91,39.0,0.23,2,False,75.3,104.0,37.44,6.51,24.29,0.87,8.87,全样本(基准)
个股,2026-07-23,600150,中国船舶,56,2,33.76,33.53,-0.68,2,False,32.59,13.89,29.47,22.47,26.12,1.7,21.01,全样本(基准)
个股,2026-07-23,600183,生益科技,48,2,125.1,125.99,0.71,2,False,17.72,13.37,63.5,77.35,98.07,16.95,98.07,全样本(基准)
个股,2026-07-23,600188,兖矿能源,71,2,22.15,19.97,-9.84,2,False,93.59,26.99,55.61,23.27,98.84,2.91,89.73,全样本(基准)
个股,2026-07-23,600276,恒瑞医药,39,2,54.91,53.6,-2.39,2,False,34.79,87.87,30.49,44.89,6.17,5.73,4.1,全样本(基准)
个股,2026-07-23,600309,万华化学,61,2,75.49,74.15,-1.78,2,False,111.65,65.99,29.03,17.95,64.39,2.12,9.73,全样本(基准)
