排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
41,601601,中国太保,94.03,98.35,23.78,93.4,81.02,10.43,34.04,3.69,5.81,3.04,1.03,19.52,31.244,30.598,1.0,8.95,1.71,1.62,25.85,5.29,33.97,保险Ⅱ
42,688012,中微公司,1.25,12.92,47.66,8.25,21.83,59.06,341.0,-0.84,77.2,41.47,10.87,71.14,367.661,377.226,0.0,-7.25,0.86,0.51,41.69,59.26,93.97,半导体
43,601869,长飞光纤,48.94,61.55,50.0,61.84,47.38,53.43,393.46,-3.52,94.62,87.63,19.91,96.15,375.548,402.071,0.0,4.77,0.81,0.84,47.05,79.83,93.72,通信设备
44,002415,海康威视,61.38,38.03,76.07,84.35,45.3,87.52,34.98,-0.57,19.51,9.41,3.8,23.14,35.111,34.23,1.0,-0.37,0.77,0.42,13.32,16.36,40.25,计算机设备
45,601211,国泰海通,63.24,0.33,45.76,73.21,6.42,45.84,17.69,0.45,9.62,4.09,0.94,26.94,17.833,18.16,0.0,-0.8,0.86,0.72,10.61,7.11,46.86,证券Ⅱ
46,600000,浦发银行,75.99,69.31,29.58,85.55,62.49,23.76,9.27,-0.11,6.03,69.55,0.41,30.17,9.152,8.96,1.0,1.29,1.06,1.17,8.42,57.6,52.48,银行Ⅱ
47,600276,恒瑞医药,14.6,-8.63,-1.4,0.51,2.39,8.04,45.96,0.86,39.48,2.19,4.73,0.1,49.92,51.818,0.0,-7.93,0.78,0.6,23.0,3.8,0.17,化学制药
48,300059,东方财富,35.13,5.15,21.94,53.94,14.28,25.81,19.01,0.53,20.63,1.81,3.06,8.98,19.357,19.773,0.0,-1.79,0.77,0.75,33.21,3.14,15.62,证券Ⅱ
49,000858,五 粮 液,10.39,28.88,6.88,22.59,40.38,9.21,70.68,-0.2,20.97,23.33,2.32,0.33,72.643,73.233,0.0,-2.7,0.66,0.57,12.74,32.31,0.58,白酒Ⅱ
50,300394,天孚通信,18.32,78.45,39.94,16.39,74.66,43.35,248.81,-0.48,116.87,94.63,43.44,95.68,257.518,256.008,1.0,-3.38,0.67,0.51,63.19,90.66,92.48,通信设备
