市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,数据补齐,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,策略
HK,2026-07-31,000941,中国移动,9,2,83.65,82.7,-1.14,2,False,83.17,74.55,44.58,11.95,,1.1,,全样本(基准)
HK,2026-07-31,000981,中芯国际,26,2,63.25,68.0,7.51,2,False,2.64,-5.67,49.79,99.97,,2.98,,全样本(基准)
HK,2026-07-31,000992,联想集团,46,2,23.86,26.28,10.14,2,False,34.81,52.33,94.09,19.75,,4.95,,全样本(基准)
HK,2026-07-31,000998,中信银行,34,2,7.73,7.5,-2.98,2,False,85.83,90.4,35.36,5.39,,0.51,,全样本(基准)
HK,2026-07-31,001024,快手-W,68,2,43.7,45.48,4.07,2,False,45.24,40.81,-9.12,9.65,,2.04,,全样本(基准)
HK,2026-07-31,001038,长江基建集团,76,2,62.6,61.75,-1.36,2,False,69.09,104.29,60.57,19.08,,1.23,,全样本(基准)
HK,2026-07-31,001088,中国神华,14,2,43.46,42.14,-3.04,2,False,42.5,53.7,33.61,15.98,,1.68,,全样本(基准)
HK,2026-07-31,001109,华润置地,55,2,33.2,33.08,-0.36,2,False,29.86,42.27,40.61,8.41,,0.74,,全样本(基准)
HK,2026-07-31,001113,长实集团,73,2,47.84,48.18,0.71,2,False,52.54,81.95,56.39,15.44,,0.42,,全样本(基准)
HK,2026-07-31,001211,比亚迪股份,16,2,94.15,93.8,-0.37,2,False,83.87,99.65,42.81,27.85,,3.27,,全样本(基准)
HK,2026-07-31,001276,恒瑞医药,36,2,57.1,58.3,2.1,2,False,62.99,54.71,6.2,41.69,,5.26,,全样本(基准)
HK,2026-07-31,001288,农业银行,7,2,6.31,5.94,-5.86,2,False,86.59,86.54,64.03,6.7,,0.69,,全样本(基准)
HK,2026-07-31,001299,友邦保险,18,2,79.25,77.75,-1.89,2,False,82.78,74.25,21.62,16.9,,2.47,,全样本(基准)
HK,2026-07-31,001336,新华保险,82,2,48.36,49.06,1.45,2,False,56.67,45.62,1.25,3.67,,1.08,,全样本(基准)
HK,2026-07-31,001339,中国人民保险集团,51,2,5.46,5.43,-0.55,2,False,91.48,88.18,-1.33,5.11,,0.67,,全样本(基准)
HK,2026-07-31,001347,华虹宏力,56,2,128.3,141.5,10.29,2,False,5.11,-5.68,59.63,396.76,,4.23,,全样本(基准)
HK,2026-07-31,001377,鼎泰高科,94,2,302.2,366.0,21.11,2,False,19.42,,,183.97,,37.7,,全样本(基准)
HK,2026-07-31,001378,中国宏桥,53,2,24.54,24.04,-2.04,2,False,87.46,48.3,-3.73,9.62,,1.66,,全样本(基准)
HK,2026-07-31,001398,工商银行,4,2,7.51,7.21,-3.99,2,False,86.53,96.98,74.53,6.44,,0.6,,全样本(基准)
HK,2026-07-31,001658,邮储银行,23,2,5.08,4.87,-4.13,2,False,98.46,76.05,25.35,6.19,,0.52,,全样本(基准)
HK,2026-07-31,001766,中国中车,80,2,5.26,5.2,-1.14,2,False,92.78,63.64,15.83,9.99,,0.76,,全样本(基准)
HK,2026-07-31,001776,广发证券,92,2,17.08,17.27,1.11,2,False,26.98,45.87,36.21,7.63,,0.86,,全样本(基准)
