排名,代码,名称,日线J,周线J,月线J,昨日日线J,昨日周线J,昨日月线J,最新价,涨跌幅,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,双均线多头,价距MA20%,量比,量比30,成交额(亿),PE5年分位%,PB5年分位%,行业
65,03692,翰森制药,-8.67,55.92,23.1,3.89,98.68,23.62,32.72,-1.86,26.05,,4.56,,34.186,32.736,1.0,-4.29,1.26,1.07,4.29,,,
66,00002,中电控股,100.19,66.71,92.99,110.18,70.67,95.02,78.5,-1.07,18.29,,1.8,,78.305,76.968,1.0,0.25,0.89,0.85,2.22,,,
67,02476,胜宏科技,29.58,33.73,-0.9,33.39,26.89,5.55,200.0,-2.25,34.4,,4.5,,220.915,246.425,0.0,-9.47,0.88,0.53,5.14,,,
68,02269,药明生物,8.14,63.99,75.94,7.4,80.77,70.1,47.0,-1.05,34.4,,3.52,,49.227,41.982,1.0,-4.52,1.23,0.81,15.68,,,
69,06690,海尔智家,0.06,35.8,14.15,11.47,57.4,20.02,20.58,-1.15,9.42,,1.4,,21.193,20.983,1.0,-2.89,2.31,1.75,4.26,,,
70,06031,三一重工,52.25,55.24,15.01,69.47,50.11,13.61,19.7,-0.3,17.86,,1.71,,19.281,19.536,0.0,2.17,1.61,1.18,0.97,,,
71,00762,中国联通,89.06,21.54,7.95,95.88,13.33,2.38,5.83,-0.68,9.87,,0.41,,5.758,6.242,0.0,1.16,1.45,2.0,5.89,,,
72,00175,吉利汽车,9.62,2.34,6.96,7.5,18.74,22.07,16.12,-0.06,9.16,,1.6,,17.681,18.21,0.0,-8.83,0.82,0.75,5.13,,,
73,06818,中国光大银行,49.27,14.61,5.77,29.16,19.29,5.81,2.86,1.24,4.5,,0.29,,2.931,3.024,0.0,-2.42,1.65,2.48,1.17,,,
74,01113,长实集团,103.38,81.32,53.66,107.6,72.08,45.67,47.88,-0.04,12.67,,0.42,,46.611,46.402,1.0,2.72,1.32,1.52,3.59,,,
75,01038,长江基建集团,108.67,95.3,86.11,107.61,90.09,75.78,66.3,0.15,6.64,,1.13,,65.435,62.502,1.0,1.32,0.86,0.83,0.79,,,
76,01801,信达生物,-1.42,46.62,64.13,-8.95,79.57,67.85,93.55,-0.85,114.25,,6.81,,100.907,92.254,1.0,-7.29,1.42,1.14,14.27,,,
77,00788,中国铁塔,21.0,0.57,4.41,36.32,19.7,4.7,9.03,-0.33,10.47,,0.67,,9.194,9.351,0.0,-1.78,1.16,1.15,1.95,,,
78,03288,海天味业,8.0,-6.45,-3.93,6.65,9.39,9.41,27.08,-0.44,19.03,,3.52,,29.713,30.793,0.0,-8.86,1.4,1.22,0.74,,,
79,01816,中广核电力,65.59,109.06,25.35,89.55,112.91,16.5,3.06,-1.45,13.67,,1.09,,2.967,2.862,1.0,3.3,1.5,1.36,1.72,,,
80,06886,华泰证券,7.97,80.3,33.34,28.95,102.36,31.6,17.14,-2.56,6.63,,0.75,,17.32,16.992,1.0,-1.04,1.01,1.38,2.02,,,
81,06936,顺丰控股,3.94,13.33,22.21,-0.1,51.01,39.09,29.42,-0.54,12.51,,1.31,,31.649,31.801,0.0,-7.04,2.7,3.42,1.28,,,
82,02423,贝壳-W,6.37,64.88,64.49,-7.25,99.93,62.71,44.56,1.04,28.27,,2.05,,45.825,43.198,1.0,-2.76,0.77,0.96,3.91,,,
83,01988,民生银行,36.92,63.21,34.04,67.27,77.62,27.7,3.47,-2.66,4.62,,0.23,,3.482,3.431,1.0,-0.34,2.45,3.09,2.65,,,
84,06869,长飞光纤光缆,61.67,91.99,40.05,53.28,60.12,36.35,183.5,3.44,38.52,,8.06,,161.465,160.129,1.0,13.65,1.34,1.08,54.35,,,
85,01766,中国中车,28.75,102.69,47.08,34.17,108.78,36.65,5.29,1.15,9.58,,0.75,,5.278,4.992,1.0,0.23,1.2,1.11,1.02,,,
86,01888,建滔积层板,67.69,48.85,22.32,74.43,19.85,26.34,47.9,-1.48,34.34,,8.23,,42.926,51.919,0.0,11.59,0.94,0.67,34.32,,,
