排名,代码,名称,最新价,总市值,流通市值,行业,成交额,ROE%,营收同比%,净利润(亿),净利同比%,毛利率%
22,000333,美的集团,86.18,657449819569,593336769859,白色家电,1883865956.57,5.56,2.4546350219,126.75,2.031220956812,25.5711317621
23,600028,中国石化,5.29,639695970234,501240594734,炼化及贸易,895023695.0,3.06,1.9523055217,256.27,19.289670902574,19.2430394532
24,601328,交通银行,7.07,624731954457,184332147753,银行Ⅱ,1027567584.0,2.2675,4.8874559315,261.62,3.113668611067,0.0
25,601658,邮储银行,5.0,600475267460,362639003025,银行Ⅱ,697087052.0,2.4275,7.6082942605,257.26,1.90129129367,0.0
26,601728,中国电信,6.35,581070330739,492948777239,通信服务,555006376.0,4.2,-3.8643498262,195.88,-14.898970046109,29.7628442917
27,688041,海光信息,245.97,571717440243,571717440243,半导体,7643209237.0,7.56,66.5195709856,17.98,49.691219941746,55.2090490096
28,300502,新易盛,409.1,570390409424,513110875120,通信设备,14874143370.87,34.86,100.3392340098,75.29,90.984424978074,48.4397325072
29,002371,北方华创,718.0,521044845600,520611520394,半导体,4375977975.22,8.58,24.9038763685,33.7,5.051223129423,40.0682862059
30,601998,中信银行,8.66,481887105206,353007573825,银行Ⅱ,655838867.0,4.805,3.0507963718,376.02,3.081309282307,0.0
31,603259,药明康德,159.94,477222119371,395576442545,医疗服务,5533307226.0,13.19,38.9349828598,110.8,29.427935686791,53.9094753581
32,002475,立讯精密,57.18,442448678828,418847948089,消费电子,6333030050.16,8.76,40.1605518581,78.43,18.036983291456,11.7785360877
33,688347,华虹宏力,252.72,439158216313,103046580000,半导体,5013896724.0,0.86,19.4147741706,3.99,436.692371841556,19.4457765387
34,600030,中信证券,27.93,436385922881,340091068704,证券Ⅱ,3761059910.0,7.81,50.0035284024,233.43,69.601525447949,0.0
35,688235,百济神州,279.75,431454279385,32186708985,化学制药,1109267876.0,9.9,26.8363500983,32.71,627.147475232556,89.4529871532
36,603993,洛阳钼业,19.51,417402991534,340661030854,工业金属,5003965615.0,18.29,42.7839090612,161.52,86.272667882062,23.0090744347
37,601166,兴业银行,18.01,381143099829,381143099829,银行Ⅱ,1872404715.0,4.79,-0.2543953358,411.31,-4.659140956399,0.0
38,002384,东山精密,200.6,367420470919,278096137634,元件,11562323295.08,12.88,63.9481879305,29.57,290.089113632119,20.1513507952
39,688012,中微公司,376.01,360158301271,354275508258,半导体,5920649681.0,11.56,34.8886347323,28.25,300.216524117415,39.7417373409
