市场,信号日,代码,名称,排名,持有期,买入价,卖出价,收益%,实际持有交易日,日线J,周线J,月线J,PE_TTM,PE历史分位%,PB_MRQ,PB历史分位%,MA20,MA60,量比,策略
个股,2026-07-19,601066,中信建投,77,1,26.32,26.48,0.46,1,30.67,52.33,64.57,18.25,9.95,2.38,23.98,,,,全样本(基准)
个股,2026-07-19,688072,拓荆科技,78,1,699.08,637.05,-9.02,1,-8.85,64.38,73.2,123.59,79.79,28.04,97.76,,,,全样本(基准)
个股,2026-07-19,003816,中国广核,79,1,3.94,4.07,3.15,1,95.06,6.47,21.55,20.98,87.78,1.58,61.44,,,,全样本(基准)
个股,2026-07-19,300408,三环集团,80,1,99.01,91.02,-8.22,1,2.66,12.41,61.24,68.42,98.12,8.79,98.12,,,,全样本(基准)
个股,2026-07-19,600690,海尔智家,81,1,20.08,20.59,2.39,1,87.15,77.35,4.88,10.5,2.95,1.57,2.27,,,,全样本(基准)
个股,2026-07-19,601336,新华保险,82,1,60.74,62.78,3.21,1,45.3,82.6,1.83,5.31,2.22,1.59,48.58,,,,全样本(基准)
个股,2026-07-19,600188,兖矿能源,83,1,18.58,20.47,10.02,1,68.07,-2.85,38.51,19.86,95.8,2.48,70.5,,,,全样本(基准)
个股,2026-07-19,601668,中国建筑,84,1,4.53,4.65,2.5,1,93.45,73.86,25.66,4.93,53.4,0.38,0.58,,,,全样本(基准)
个股,2026-07-19,601818,光大银行,85,1,3.06,3.11,1.48,1,81.45,71.01,20.54,4.89,42.78,0.37,1.98,,,,全样本(基准)
个股,2026-07-19,600025,华能水电,86,1,9.84,10.14,2.9,1,83.18,85.8,51.38,21.47,75.95,2.58,73.73,,,,全样本(基准)
个股,2026-07-19,300760,迈瑞医疗,87,1,149.43,154.5,3.24,1,89.86,51.15,14.58,23.12,4.09,4.52,1.7,,,,全样本(基准)
个股,2026-07-19,601985,XD中国核,88,1,8.79,9.07,3.04,1,80.12,31.2,60.41,21.96,83.82,1.51,26.61,,,,全样本(基准)
个股,2026-07-19,300433,蓝思科技,89,1,34.24,34.22,-0.21,1,-3.52,13.4,45.62,52.55,82.57,3.31,76.24,,,,全样本(基准)
个股,2026-07-19,301377,鼎泰高科,90,1,425.0,372.0,-12.62,1,18.67,39.05,63.89,289.92,97.18,62.11,97.18,,,,全样本(基准)
个股,2026-07-19,601688,华泰证券,91,1,19.47,20.07,2.93,1,24.16,56.79,14.78,10.23,22.16,1.01,39.55,,,,全样本(基准)
个股,2026-07-19,600406,国电南瑞,92,1,22.19,23.56,6.02,1,44.73,15.26,2.09,21.42,11.11,3.33,22.31,,,,全样本(基准)
个股,2026-07-19,600930,华电新能,93,1,4.26,4.39,2.9,1,8.55,-0.91,1.39,27.75,0.41,1.61,0.41,,,,全样本(基准)
个股,2026-07-19,300604,长川科技,94,1,278.76,265.0,-5.09,1,-9.3,51.6,76.2,112.43,51.09,34.72,99.13,,,,全样本(基准)
个股,2026-07-19,600176,中国巨石,95,1,43.8,39.44,-10.1,1,-4.61,27.57,60.24,45.87,98.41,5.43,98.74,,,,全样本(基准)
个股,2026-07-19,002352,顺丰控股,96,1,33.08,33.98,2.57,1,80.34,45.11,19.51,15.27,1.06,1.74,1.06,,,,全样本(基准)
个股,2026-07-19,000063,中兴通讯,97,1,35.59,33.32,-6.53,1,19.91,27.3,16.36,38.48,90.58,2.25,29.74,,,,全样本(基准)
